ax,ay,az,fsr1,fsr2,fsr3,fsr4,fsr5
-0.0107,-0.003,0.0055,1023,1004,1013,1023,926
1.3539,0.0544,0.0713,1023,1023,1023,1023,1023
-0.0637,-0.1174,0.0617,1023,1023,1023,1023,1023
-0.6833,-0.0933,-0.0066,1023,1023,1023,1023,1023
0.0006,-0.0001,0.0213,1023,1023,786,1023,735
0.0064,0.0022,-0.01,1020,966,925,1020,876
0.0205,-0.0255,0.01,977,743,1023,1023,1023
1.1256,0.6419,-0.0514,1023,1023,1023,1023,1023
-0.191,-0.3481,0.6894,1023,1023,1023,1023,1023
-1.9661,-0.4856,-0.4549,1023,1023,1023,1023,1023
0.0104,-0.0557,-0.0038,1012,844,1021,1020,975
0.4495,-0.072,0.2219,1023,1023,1023,1023,1023
-3.1342,-0.3823,-0.5437,1023,1023,1023,1023,1023
-0.0028,-0.0017,0.0114,1023,1019,833,1023,721
-0.0072,0.0135,0.0016,996,808,1023,1023,940
0.0963,-0.0009,0.2162,985,698,1023,1023,1023
0.6347,0.0792,0.3922,1023,1023,1023,1023,1023
0.0212,-0.0273,0.0158,1023,1020,835,1023,711
0.0338,-0.0328,0.1957,979,696,1023,1023,1023
0.8356,0.1126,0.6765,1023,1023,1023,1023,1023
-2.119,-0.7369,0.5164,1023,1023,1023,1023,1023
0.0347,-0.0385,0.0102,950,803,1023,1023,888
0.1311,0.0463,0.2165,912,655,1023,1023,1023
0.6061,0.2473,-0.0952,1023,1023,1023,1023,1023
-1.5228,-1.2049,0.9334,1023,1023,1023,1023,1023
-0.6881,0.0805,2.204,1023,1023,871,1023,712
0.0076,-0.0205,0.0097,986,866,1011,1023,842
0.0024,-0.0185,0.0115,885,642,1023,1023,1023
-1.8091,-0.8454,1.4376,1023,1023,1023,1023,1023
-0.0015,0.0097,0.0153,1022,955,929,1023,759
0.5939,-0.0797,1.4254,1023,1023,1023,1023,1023
-0.9185,-0.6257,1.6284,1023,1023,1023,1023,1023
-0.4022,-0.4447,-0.5422,1023,1023,1023,1023,1023
-0.0045,0.0124,-0.0043,1023,944,927,1023,716
