ax,ay,az,fsr1,fsr2,fsr3,fsr4,fsr5
0.0323,-0.0139,0.0179,1023,1023,966,1023,877
-0.0098,0.0016,-0.2016,1023,1023,1023,1023,1023
-0.0275,0.0495,0.0187,1023,983,1004,1023,770
0.0071,-0.0293,0.0156,963,638,1023,1022,1023
-0.4201,-0.6672,1.0015,1023,1023,1023,1023,1023
0.12,-0.1006,-0.3321,1023,1023,1023,1023,1023
0.0176,0.0008,0.0,1023,1009,862,1023,720
0.0079,0.0179,-0.0002,982,763,985,1023,849
-0.2899,-0.0905,0.2905,1023,678,1023,1023,1023
-3.4863,-0.0445,-1.2143,1023,1023,1023,1023,1023
-0.009,0.0083,-0.0121,956,692,1023,1023,963
0.0484,-0.0061,0.2994,950,618,1023,1023,1023
0.8289,0.182,0.6605,1023,1023,1023,1023,1023
-1.1799,-0.4855,0.6746,1023,1023,1023,1023,1023
0.0171,0.0113,0.0098,1018,822,1010,1023,800
0.0048,-0.0239,0.0116,896,635,1023,1023,1023
-0.3442,-0.6762,1.0456,1023,1023,1023,1023,1023
0.1515,-0.0699,0.268,1023,1023,1023,1023,1023
0.01,0.0082,0.0077,1013,936,932,1023,766
0.0626,-0.0615,0.1103,924,702,1023,1023,963
-1.1784,-0.8731,2.3499,1023,915,1023,1023,1023
-0.3101,0.148,0.5062,1023,1023,1023,1023,1023
-3.0218,-0.0925,-0.5878,1023,1023,1023,1023,1023
0.0223,-0.0188,-0.0271,957,762,1023,1023,849
-0.1445,0.7888,0.5946,1023,1023,1023,1023,1023
0.0084,-0.0031,0.0136,1019,871,997,1023,731
0.026,-0.0397,0.055,928,726,1023,1023,900
0.2804,0.0916,0.3202,877,670,1023,1023,1023
-2.0284,0.2941,-0.1693,1023,1023,1023,1023,1023
-0.0037,0.0195,0.023,1023,979,976,1023,750
0.0225,0.0153,-0.041,956,802,1023,1023,923
0.026,-0.0188,0.01,805,679,1023,1023,1023
1.2579,0.2671,-0.0422,1023,1023,1023,1023,1023
-1.1009,-1.0213,1.0018,1023,1023,1023,1023,1023
-0.3165,0.1011,0.1468,1023,1023,997,1023,927
0.0058,0.0128,0.0076,1000,869,1022,1023,825
0.0192,-0.0193,0.0528,951,669,1023,1023,998
-0.0905,-0.4826,1.379,1023,1001,1023,1023,1023
-2.393,-0.0091,-0.424,1023,1023,1023,1023,1023
0.0134,0.0053,-0.0001,1023,986,964,1023,733
0.008,-0.0058,-0.0255,970,790,1023,1023,886
1.1156,-0.1872,0.4318,1023,1023,1023,1023,1023
-1.4294,-0.5148,0.3759,1023,1023,1023,1023,1023
-0.0211,-0.141,-0.1095,1023,1023,907,1023,746
0.0095,-0.0005,0.0097,969,835,1019,1023,879
0.0118,-0.0163,0.0332,859,639,1023,1023,1023
-1.588,-1.0633,1.3012,1023,1023,1023,1023,1023
0.0337,0.0183,-0.0193,929,870,1001,1023,948
0.0274,0.0073,0.006,850,676,1023,1023,1023
2.051,0.6077,2.4107,1023,1023,1023,1023,1023
0.1588,-0.017,-0.0797,1023,1023,1023,1023,1023
0.0315,-0.0016,-0.0037,891,746,1023,1023,965
0.1189,0.1538,0.6106,1023,1023,1023,1023,1023
-2.4569,-0.3518,0.0938,1023,1023,1023,1023,1023
0.0172,0.0113,0.002,1016,939,930,1023,729
0.1044,0.039,0.2201,866,678,1023,1023,1023
