ax,ay,az,fsr1,fsr2,fsr3,fsr4,fsr5
0.884,0.2758,-0.1418,1023,1023,1023,1023,1023
-1.3249,-0.056,-0.0167,1023,1023,1023,1023,1023
-0.0418,0.0482,-0.0109,938,682,1023,1023,1023
-0.0418,0.0482,-0.0109,933,647,1023,1023,1023
1.377,0.5677,0.5915,1023,1023,1023,1023,1023
-0.1173,-0.0409,-0.0585,1023,858,1023,1023,1023
-0.035,0.075,0.0263,922,733,1023,1023,1023
1.5773,0.3006,0.2927,1023,1023,1023,1023,1023
-3.1785,0.4213,2.7015,1023,1021,1023,1023,1023
-0.0238,0.0456,0.0012,908,689,1023,1023,1023
-0.0272,0.0483,-0.0027,910,679,1023,1023,1023
-1.1556,-0.6618,0.0154,1023,1023,1023,1023,1023
0.0855,0.0929,0.1551,979,768,1023,1023,1023
-0.0414,0.0612,-0.003,917,684,1023,1023,1023
0.1689,0.038,0.1859,993,891,1023,1023,1023
-2.188,-0.7312,-1.315,1023,1023,1023,1023,1023
-0.0265,0.0553,0.0305,927,718,1023,1023,1023
-0.0347,0.0601,0.0166,909,684,1023,1023,1023
-0.6747,-0.6196,-0.0105,1023,1023,1023,1023,1023
-0.0089,0.1255,0.0871,1023,953,1023,1023,1023
0.0056,0.0976,0.0737,947,745,1023,1023,1023
-1.5545,-0.0633,0.1497,1023,1023,1023,1023,1023
0.0038,0.0985,0.0308,991,839,1023,1023,1023
0.0239,0.0965,0.0174,899,706,1023,1023,1023
0.0453,0.106,0.0255,956,710,1023,1023,1023
-1.26,-0.5731,-0.1839,1023,1023,1023,1023,1023
0.0451,0.0779,0.008,917,722,1023,1023,1023
0.0542,0.0906,0.0237,960,710,1023,1023,1023
-1.5983,-0.589,0.2543,1023,1023,1023,1023,1023
0.069,0.0864,0.0161,966,817,1023,1023,1023
0.0594,0.0842,0.0063,905,733,1023,1023,1023
0.0207,0.0993,0.0114,919,696,1023,1023,1023
-1.4822,-0.3679,0.4215,1023,1023,1023,1023,1023
0.0633,0.0752,0.0103,1014,828,1023,1023,1023
0.0523,0.0811,0.0023,942,703,1023,1023,1023
0.1911,0.148,0.1799,981,708,1023,1023,1023
1.3227,0.1359,0.3186,1023,1023,1023,1023,1023
-2.715,-0.795,-0.3659,1023,1023,1023,1023,1023
0.0592,0.0991,0.0081,967,738,1023,1023,1023
0.0582,0.0921,-0.0036,945,681,1023,1023,1023
-0.1457,0.0067,0.1752,1023,863,1023,1023,1023
0.2662,-0.1986,0.1843,1023,1023,1023,1023,1023
-2.6757,0.8446,-0.0054,1023,1023,1023,1023,1023
0.0388,0.0774,0.0099,947,704,1023,1023,1023
0.0465,0.0892,0.0041,961,675,1023,1023,1023
1.3509,0.6142,0.8371,1023,1016,1023,1023,1023
-1.5229,-0.427,0.1495,1023,1015,1023,1023,1023
0.0601,0.0869,0.0219,957,695,1023,1023,1023
0.0513,0.0977,0.0061,1006,711,1023,1023,1023
-2.4134,-1.1154,0.011,1023,1023,1023,1023,1023
0.0733,0.0818,0.0026,1021,687,1023,1023,1023
-0.6853,-0.3611,-0.3398,1023,1023,1023,1023,1023
0.15,0.1267,0.2771,1023,992,1023,1023,1023
0.0671,0.0768,-0.0073,989,706,1023,1023,1023
1.6524,1.5251,0.4363,1023,1023,1023,1023,1023
0.4751,0.2139,0.0709,1023,940,1023,1023,1023
0.079,0.1137,-0.0345,1013,766,1023,1023,1023
1.3628,-0.6225,0.3531,1023,1023,1023,1023,1023
0.0522,0.1047,0.0236,993,726,1023,1023,1023
0.0496,0.0821,0.01,990,685,1023,1023,1023
-0.3108,0.7858,0.6526,1023,1023,1023,1023,1023
0.0808,0.07,-0.0109,989,713,1023,1023,1023
0.8649,0.6693,0.1574,1023,1023,1023,1023,1023
0.0346,0.0506,0.0821,987,751,1023,1023,1023
0.1301,0.0696,0.1343,1023,858,1023,1023,1023
0.4422,-0.1806,0.4585,1023,1023,1023,1023,1023
0.0582,0.058,-0.0034,968,706,1023,1023,1003
1.6072,0.4796,0.4645,1023,1023,1023,1023,1023
-0.0867,-0.6096,-0.2652,1023,1023,1023,1023,1023
-0.3724,-0.2209,-0.267,1023,989,1023,1023,1023
0.0513,0.0637,0.0101,936,684,1023,1023,1023
0.0536,0.0731,0.0023,992,673,1023,1023,1023
2.6158,0.9958,2.2813,1023,1023,1023,1023,1023
-1.6712,-0.5408,-0.4638,1023,1023,1023,1023,1023
0.0531,0.0496,0.0199,946,685,1023,1023,1023
0.0337,0.0349,0.0315,983,715,1023,1023,1023
1.1186,0.495,-0.4592,1023,1023,1023,1023,1023
-1.8119,-1.025,-0.691,1023,1023,1023,1023,1023
0.0115,0.0525,0.0057,1017,834,1023,1023,1023
0.0674,0.0707,0.0065,978,678,1023,1023,1023
2.0987,0.7287,0.819,1023,1023,1023,1023,1023
-0.8893,-0.7611,-0.0506,1023,1023,1023,1023,1023
0.0281,0.0535,0.0078,918,675,1023,1023,1023
0.0333,0.0707,0.0059,951,661,1023,1023,1023
1.8383,0.6038,1.2392,1023,1023,1023,1023,1023
-0.9358,-0.7156,-0.2858,1023,1023,1023,1023,1023
0.0846,0.082,-0.0461,1003,796,1023,1023,1023
0.0282,0.0578,0.0098,930,665,1023,1023,1023
0.1497,0.0738,0.1288,993,685,1023,1023,1023
-2.1763,-0.9763,-0.103,1023,1023,1023,1023,1023
0.0434,0.0578,-0.0057,926,659,1023,1023,1023
0.8037,0.0025,0.1411,1023,1023,1023,1023,1023
-3.2531,-1.0772,-1.9946,1023,1023,1023,1023,1023
0.0497,0.0524,0.0218,932,682,1023,1023,1023
0.0474,0.0534,0.0023,922,663,1023,1023,1023
-0.1639,-0.0545,0.1947,1023,937,1023,1023,1023
0.5304,-0.563,0.3576,1023,1023,1023,1023,1023
0.073,-0.0056,0.0263,957,658,1023,1023,1023
0.0714,0.0277,0.0047,955,651,1023,1023,1023
-0.2867,-0.3314,1.3365,1023,965,1023,1023,1023
0.1977,-0.4582,0.2642,1023,1023,1023,1023,1023
-2.1439,-1.3607,0.3266,1023,1013,1023,1023,1023
0.062,0.0535,0.0181,937,660,1023,1023,1023
0.0732,0.0625,0.0046,984,655,1023,1023,1023
-1.3694,-0.7055,-0.105,1023,1023,1023,1023,1023
0.6482,0.1666,0.7632,1015,817,1023,1023,1023
0.1379,0.0847,0.0192,938,659,1023,1023,1023
1.0161,0.0488,0.574,1023,1023,1023,1023,1023
0.1165,0.0411,0.0151,933,648,1023,1023,1023
1.0225,0.1946,0.5775,1023,1023,1023,1023,1023
-0.0771,-0.1089,0.1141,1023,1023,1023,1023,1023
0.0964,0.0001,-0.0047,991,684,1023,1023,1023
1.8651,1.222,0.6769,1023,1023,1023,1023,1023
0.1682,0.0238,0.0726,1003,770,1023,1023,1023
0.087,-0.0274,0.009,935,660,1023,1023,1023
0.3078,-0.9799,0.2168,1023,1015,1023,1023,1023
-0.0969,0.1096,0.0194,1023,989,1023,1023,1023
-0.0998,-0.0181,-0.0447,1023,1001,1023,1023,1023
-0.0298,0.0301,0.0012,978,684,1023,1023,1023
-0.0106,0.0135,0.0601,1015,681,1023,1023,1023
0.7491,0.6406,0.6499,1023,1023,1023,1023,1023
-2.2156,-2.156,0.5118,1023,1012,1023,1023,1023
-0.0503,-0.0037,0.0771,1023,753,1023,1023,1023
0.3606,0.4732,0.7343,1023,1023,1023,1023,1023
-2.2395,-1.0894,-0.1192,1023,961,1023,1023,1023
0.0959,0.1141,0.1161,987,661,1023,1023,1023
