ax,ay,az,fsr1,fsr2,fsr3,fsr4,fsr5
0.1887,0.1153,0.0004,1023,1023,997,1023,1013
0.1786,0.1176,0.0373,1023,1023,1023,1023,1023
0.2327,0.1464,-0.3058,1023,1023,828,1023,886
0.129,0.1055,0.1557,1023,1023,743,1023,771
0.156,0.0821,0.0332,1023,1023,863,1023,842
0.8623,-0.1449,0.1093,1023,1023,1023,1023,1023
0.3076,0.5138,0.5029,1023,1023,1023,1023,1023
0.0842,0.0864,-0.0109,1023,1023,722,1023,819
1.717,0.5844,0.1572,1023,1023,1023,1023,1023
-0.3641,0.1942,0.1478,1023,1023,1023,1023,1023
0.3714,0.1923,0.5322,1023,1023,1023,1023,1023
0.1202,0.0724,-0.0025,1023,1023,725,1023,836
0.7957,0.3586,0.0578,1023,1023,1023,1023,1023
-0.1029,0.0793,0.0174,1023,1023,1023,1023,1023
0.2817,0.1,-0.0646,1023,1023,885,1023,932
0.1154,0.0979,-0.0066,1023,1023,740,1023,807
0.555,0.0471,0.3598,1023,1023,1023,1023,1023
-0.7634,-0.0386,-0.2932,1023,1023,1023,1023,1023
0.3156,-0.0043,0.1746,1023,1023,990,1023,987
0.1039,0.0946,0.1632,1023,1023,747,1023,804
0.717,0.3646,-0.1427,1023,1023,1023,1023,1023
-0.235,0.2114,-0.1647,1023,1023,1023,1023,1023
-1.0145,0.2901,-0.1282,1023,1023,1023,1023,1023
0.1089,0.075,0.1125,1023,1023,734,1023,826
0.1701,0.0234,-0.0504,1023,1023,924,1023,957
0.2676,0.6657,-0.0237,1023,1023,1023,1023,1023
0.2178,0.6597,0.0575,1023,1023,1023,1023,1023
0.1207,0.1027,0.2318,1023,1023,750,1023,811
0.1285,0.121,0.0091,1023,1023,760,1023,794
1.1774,0.7455,0.8926,1023,1023,1023,1023,1023
0.5532,0.2722,0.1285,1023,1023,1023,1023,1023
-0.1644,0.1142,-0.1829,1023,1023,1023,1023,1023
0.0633,0.2447,0.9453,1023,1023,946,1023,943
0.1201,0.0992,-0.0788,1023,1023,785,1023,834
0.5803,0.6359,-0.0911,1023,1023,1023,1023,1023
0.0115,0.0905,0.1793,1023,1023,1023,1023,1023
-1.5029,-0.0909,-0.3827,1023,1023,1023,1023,1023
0.0849,0.0995,-0.011,1023,1023,742,1023,820
1.3774,0.0551,-0.1295,1023,1023,1023,1023,1023
-0.7856,0.1938,0.2487,1023,1023,1023,1023,1023
0.1066,0.0792,-0.0087,1023,1023,752,1023,836
0.3711,-0.3067,0.3484,1023,1023,1023,1023,1023
0.4311,-0.1469,0.0421,1023,1023,1023,1023,1023
0.108,0.0724,0.1008,1023,1023,751,1023,834
0.1103,0.1165,-0.0692,1023,1023,781,1023,806
0.3115,-0.4656,0.2953,1023,1023,1023,1023,1023
0.3314,-0.1348,0.0834,1023,1023,923,1023,959
0.1007,0.1094,0.0733,1023,1023,794,1023,882
0.1228,0.0248,0.234,1023,1023,892,1023,955
-0.013,-0.0866,0.1698,1023,1023,1023,1023,1023
-0.0191,0.0853,-0.0652,1023,1023,1023,1023,1023
0.1187,0.0506,0.019,1023,1023,1023,1023,1023
0.3789,0.0427,-0.0296,1023,1023,1023,1023,1023
0.3078,0.1471,0.0997,1023,1023,1023,1023,1023
0.4668,0.1464,-0.1126,1023,1023,1023,1023,1023
0.2279,-0.0479,-0.1216,1023,1023,1023,1023,1023
0.1299,0.0806,-0.0376,1023,1023,1023,1023,1023
0.0426,0.2494,-0.0082,1023,1023,1023,1023,1023
-0.2729,0.2359,0.0944,1023,1023,1023,1023,1023
0.0867,0.0722,-0.048,1023,1023,823,1023,809
1.1368,0.4014,0.2582,1023,1023,1023,1023,1023
0.026,-0.0596,-0.1149,1023,1023,1023,1023,1023
0.1207,0.069,0.0639,1023,1023,765,1023,903
0.1084,0.0651,0.0012,1023,1023,827,1023,884
0.1935,-0.2089,0.2164,1023,1023,1023,1023,1023
-0.21,0.1786,0.1404,1023,1023,1023,1023,1023
-0.004,0.572,0.3709,1023,1023,980,1023,1008
0.0826,0.0687,0.2098,1023,1023,749,1023,836
0.1038,0.0951,-0.0009,1023,1023,770,1023,818
0.9748,0.6932,0.706,1023,1023,1023,1023,1023
0.5139,0.0334,0.365,1023,1023,1023,1023,1023
-0.9441,0.0021,-0.2454,1023,1023,1023,1023,1023
0.368,0.0088,0.8922,1023,1023,991,1023,982
0.1726,0.1083,0.0041,1023,1023,744,1023,837
0.1215,0.0837,0.0034,1023,1023,748,1023,821
0.8866,0.1326,0.3412,1023,1023,1023,1023,1023
-0.3995,-0.061,-0.1489,1023,1023,1023,1023,1023
0.0903,0.2563,-1.1933,1023,1023,797,1023,819
0.1073,0.0939,-0.0594,1023,1023,830,1023,834
0.7349,0.289,0.0375,1023,1023,1023,1023,1023
