ax,ay,az,fsr1,fsr2,fsr3,fsr4,fsr5
0.123,0.2182,-0.0557,1023,1023,1023,1023,1023
0.4355,0.2247,0.1191,1023,1023,1023,1023,1023
0.1009,0.0533,-0.0048,1023,1023,790,1023,855
0.0933,0.0458,0.003,1023,1023,759,1023,813
0.0913,0.0599,0.0108,1023,973,854,1023,827
2.2065,0.4988,0.6261,1023,1023,1023,1023,1023
-0.4402,-0.3159,0.244,1023,1023,1023,1023,1023
0.0852,0.0681,0.0379,1023,1023,750,1023,774
0.0856,0.0532,0.0224,1023,1023,750,1023,806
0.0995,0.0568,-0.0165,1023,976,918,1023,951
0.6091,0.7529,0.1161,1023,1023,1023,1023,1023
-0.2625,0.366,0.9126,1023,1023,1023,1023,1023
0.0342,0.0115,-0.1853,1023,1023,1012,1023,1023
0.0894,0.0844,-0.0148,1023,1023,734,1023,796
0.0912,0.0747,0.0146,1023,1023,757,1023,789
2.2447,0.802,0.8971,1023,1023,1023,1023,1023
-0.2714,-0.2725,0.3813,1023,1023,1023,1023,1023
0.0126,0.0998,0.4196,1023,1023,754,1023,811
0.089,0.0608,-0.001,1023,1021,744,1023,845
0.0934,0.065,0.001,1023,986,833,1023,933
0.1496,-0.3876,0.269,1023,1023,1023,1023,1023
-1.2995,-0.5637,-0.7022,1023,1023,1023,1023,1023
0.0766,0.0492,0.0223,1023,1012,749,1023,791
1.3229,1.2304,0.1411,1023,1023,1023,1023,1023
-0.8983,-0.2265,-0.1618,1023,1023,1023,1023,1023
0.1264,0.0284,0.0153,1023,1023,833,1023,848
0.085,0.0654,-0.0148,1023,1023,798,1023,808
0.0808,0.07,-0.0109,1023,969,964,1023,973
1.496,0.1163,0.1416,1023,1023,1023,1023,1023
0.1456,0.0656,-0.0861,1023,1023,1023,1023,1023
0.0862,0.0619,0.0048,1023,1023,737,1023,815
0.0761,0.0554,0.0163,1023,1019,764,1023,809
0.2944,0.1194,0.248,1023,977,1023,1023,1023
0.0784,-0.1928,0.4724,1023,1023,1023,1023,1023
0.1288,0.1518,0.095,1023,1023,861,1023,924
0.0733,0.0476,0.0027,1023,998,797,1023,901
1.2276,0.2726,0.2425,1023,1023,1023,1023,1023
-0.0144,-0.0133,0.1012,1023,1023,1023,1023,1023
0.1574,0.3958,-0.005,1023,1023,1013,1023,1023
0.0958,0.0596,0.001,1023,1023,721,1023,853
0.0887,0.0609,0.0185,1023,1023,766,1023,831
-0.6157,-1.4511,0.2041,1023,1023,1023,1023,1023
-0.0952,-0.5874,0.4007,1023,1023,1023,1023,1023
-0.5355,0.1734,0.239,1023,1023,1023,1023,1023
0.2449,0.0142,0.2203,1023,1023,955,1023,1012
0.0855,0.0873,0.0242,1023,1023,736,1023,839
0.0726,0.088,0.0123,1023,1021,749,1023,824
0.492,0.4386,0.0528,1023,1023,1023,1023,1023
0.4278,-0.3364,0.4313,1023,1023,1023,1023,1023
0.1382,0.0287,0.3788,1023,1023,877,1023,972
0.068,0.0821,0.065,1023,1023,737,1023,854
0.0745,0.0887,0.0045,1023,1013,756,1023,856
2.0967,1.0345,0.982,1023,1023,1023,1023,1023
-0.9575,-0.0533,-0.2883,1023,1023,1023,1023,1023
-0.2725,-0.0909,2.9923,1023,1023,763,1023,888
0.0731,0.0818,0.0143,1023,1023,762,1023,875
1.657,0.7975,0.2025,1023,1023,1023,1023,1023
0.0446,-0.0569,0.6062,1023,1023,1023,1023,1023
-0.7068,-0.1025,-0.2082,1023,1023,1023,1023,1023
0.0918,0.0686,0.0087,1023,1023,742,1023,889
0.0602,0.0676,0.0122,1023,984,1023,1023,1023
-0.7474,0.3366,0.0555,1023,1023,1023,1023,1023
0.029,0.194,-0.0493,1023,1023,902,1023,977
0.0704,0.0636,0.0182,1023,1023,763,1023,841
-0.2184,0.3346,0.1105,1023,1023,1023,1023,1023
0.4197,0.0447,-0.1189,1023,1023,1023,1023,1023
0.3086,0.4651,0.2862,1023,1023,1023,1023,1023
0.1984,-0.1547,0.3022,1023,1023,994,1023,1014
0.0909,0.0704,0.0165,1023,1023,776,1023,836
