ax,ay,az,fsr1,fsr2,fsr3,fsr4,fsr5
0.0603,0.0676,0.0064,1023,1014,1023,1023,1014
0.2778,0.1866,0.2379,1023,1023,1023,1023,1023
-0.1256,-0.1262,1.9868,1023,1023,897,1023,959
0.0705,0.0592,-0.0033,1023,970,819,1023,896
0.0593,0.0605,-0.0093,1004,796,965,1023,952
0.1788,0.1644,0.2344,1023,875,1023,1023,1023
0.1025,-0.8971,0.854,1023,1023,1023,1023,1023
-2.0605,-0.3204,-0.5897,1023,1023,1023,1023,1023
0.077,0.0728,0.0183,1001,840,953,1023,943
0.0882,0.0907,0.0301,972,691,1023,1023,1023
0.9671,0.3201,-0.0058,1023,1023,1023,1023,1023
-0.5739,-0.099,0.7062,1023,1023,1023,1023,1023
0.0667,0.0532,-0.0072,1023,969,817,1023,876
0.0469,0.0639,0.014,994,760,994,1023,961
-0.7967,-0.2718,2.9848,1023,956,1023,1023,1023
0.1602,-0.3034,0.5365,1023,1023,1023,1023,1023
0.0473,0.01,0.1431,1023,1006,808,1023,857
0.0744,0.0695,0.0046,942,704,1023,1023,1023
1.548,0.6694,1.3361,1023,1023,1023,1023,1023
-0.7776,-1.1252,1.6968,1023,1023,1023,1023,1023
-0.7403,1.2281,-0.0412,1023,1023,921,1023,988
0.075,0.044,-0.0051,1023,961,840,1023,934
-0.057,-0.2729,1.3769,1023,1007,1023,1023,1023
-0.4972,-0.718,0.9126,1023,1023,1023,1023,1023
-1.1515,-0.4706,-0.0243,1023,1023,1023,1023,1023
0.0779,0.0667,-0.0012,1023,969,830,1023,824
0.0596,0.0693,-0.0015,987,734,1023,1023,954
0.2565,0.054,0.2829,1023,1023,1023,1023,1023
0.0094,-0.0166,0.6406,1023,1006,814,1023,841
0.0649,0.076,0.0142,992,820,953,1023,966
0.0311,0.0463,0.0138,898,698,1023,1023,1023
1.6306,0.5474,1.0897,1023,1023,1023,1023,1023
-1.1819,-1.1204,1.7862,1023,1023,1023,1023,1023
-0.4244,0.2701,0.5549,1023,1023,911,1023,970
0.0787,0.0544,0.0106,1023,971,815,1023,910
-0.5543,-0.2166,2.9884,1023,955,1023,1023,1023
0.1445,-0.2821,0.3702,1023,1023,1023,1023,1023
-3.436,-0.3788,-1.9762,1023,1023,1023,1023,1023
0.0556,0.059,0.0004,983,924,905,1023,967
0.724,0.2046,1.0143,1023,1023,1023,1023,1023
-0.7942,-0.2398,0.1328,1023,1023,1023,1023,1023
0.0711,0.0679,-0.0131,996,895,902,1023,952
0.0395,0.0591,0.0725,924,713,1023,1023,1023
0.7348,0.341,-0.5252,1023,1023,1023,1023,1023
-1.318,-1.0754,0.9576,1023,1023,1023,1023,1023
0.0596,0.0693,0.0004,1023,959,842,1023,887
-0.5025,-0.3855,2.5971,1023,979,1023,1023,1023
-0.0799,-0.2589,0.5971,1023,1023,1023,1023,1023
-2.3672,0.148,-1.2836,1023,1023,1023,1023,1023
0.0807,0.0788,0.0241,1023,994,797,1023,863
0.0858,0.0724,0.0145,994,893,911,1023,968
0.0846,0.0759,-0.009,932,709,1023,1023,1023
2.161,0.905,2.2727,1023,1023,1023,1023,1023
-0.8535,-1.0291,1.2128,1023,1023,1023,1023,1023
-0.4827,-0.4894,0.3259,1023,1023,1023,1023,1023
0.0661,0.0742,-0.0112,1023,945,850,1023,900
1.9798,0.6259,0.6573,1023,1023,1023,1023,1023
-1.1512,-0.6797,-0.0412,1023,1023,1023,1023,1023
0.0646,0.0629,-0.0014,1020,869,957,1023,912
1.0449,0.1585,0.2595,1023,1023,1023,1023,1023
-1.4295,-0.7815,0.4764,1023,1023,1023,1023,1023
-0.2991,0.4122,0.1032,1023,1023,881,1023,907
0.0799,0.0762,0.0105,950,737,1023,1023,1022
-0.1912,-0.3991,1.047,1023,1023,1023,1023,1023
0.0562,0.0573,0.0063,1023,963,845,1023,828
0.0599,0.0633,0.02,1023,886,880,1023,888
0.4805,0.2626,0.4478,962,748,1023,1023,1023
-2.0052,-0.4458,-0.0025,1023,1023,1023,1023,1023
0.0557,0.0426,0.0552,1023,1009,798,1023,871
0.077,0.0491,-0.0011,1023,958,829,1023,906
