ax,ay,az,fsr1,fsr2,fsr3,fsr4,fsr5
-0.013,0.1976,-0.2023,1023,1023,1023,1023,1023
0.0665,0.0533,0.0084,1023,1004,807,1023,908
0.0705,0.0592,-0.0033,1019,815,907,1023,929
-0.0038,0.0673,0.019,999,742,1023,1023,1023
-0.9157,0.0374,0.1203,1023,1023,1023,1023,1023
-0.5338,0.9834,0.3399,1023,1023,943,1023,996
0.0878,0.0539,-0.001,1023,983,783,1023,905
-0.6006,-0.0752,2.3191,1023,957,1023,1023,1023
-1.8361,-0.0933,-0.7316,1023,1023,1023,1023,1023
0.0504,0.0462,0.0102,1005,850,872,1023,941
1.1127,0.7606,-0.2903,1023,1023,1023,1023,1023
-0.8381,-1.0921,1.4847,1023,1023,1023,1023,1023
-0.1166,0.0657,-0.096,1023,1023,884,1023,943
0.053,0.0199,0.0376,1017,921,830,1023,952
0.0403,0.0353,0.0101,921,678,1023,1023,1023
2.3729,0.0864,3.0327,1023,1023,1023,1023,1023
-0.5349,-1.0149,1.0223,1023,1023,1023,1023,1023
0.0823,0.0367,0.0087,1023,979,768,1023,883
0.0727,0.0538,0.0085,978,787,984,1023,983
0.3649,0.0851,0.5501,1023,1005,1023,1023,1023
-0.2962,-0.6765,0.9428,1023,1023,1023,1023,1023
-1.8448,-0.2474,-0.616,1023,1023,1023,1023,1023
0.0516,0.025,-0.021,1023,967,767,1023,936
0.0597,0.0396,0.0103,920,764,1023,1023,1023
0.1289,0.0141,-0.0276,1023,1023,1023,1023,1023
-0.2851,-0.6979,0.6715,1023,1023,1023,1023,1023
0.0642,0.0437,0.0182,1023,997,753,1023,900
0.0758,0.051,0.0203,958,781,979,1023,1008
0.1002,0.0204,0.1615,991,780,1023,1023,1023
0.7223,-0.0275,0.4955,1023,1023,1023,1023,1023
-3.4597,-0.4747,-0.941,1023,1023,1023,1023,1023
0.0865,0.0107,0.214,1023,1023,788,1023,928
0.0774,0.0579,-0.0051,1004,908,822,1023,936
0.0681,0.0497,0.0065,935,748,1023,1023,1023
1.2274,0.2722,0.4242,1023,1023,1023,1023,1023
-0.2257,-0.8334,0.5167,1023,1023,1023,1023,1023
0.0901,0.0634,-0.0128,1023,1007,765,1023,952
0.0877,0.0539,0.0048,1022,976,786,1023,993
0.0809,0.0639,0.0164,1006,892,811,1023,974
1.5087,0.2553,0.0575,1023,1023,1023,1023,1023
0.2818,-0.715,0.3249,1023,1023,1023,1023,1023
0.0514,0.0829,0.012,1007,833,930,1023,940
0.0684,0.0728,0.1705,1017,938,1023,1023,1023
0.4551,0.0748,0.6785,1023,1023,1023,1023,1023
-2.1418,-0.7619,-0.445,1023,1023,1023,1023,1023
0.0362,0.0928,0.1777,1023,1023,786,1023,934
