ax,ay,az,fsr1,fsr2,fsr3,fsr4,fsr5
-0.4068,0.2178,0.2057,1023,1023,1023,1023,1023
0.0209,-0.002,-0.0038,1023,895,989,1023,721
0.0117,-0.0207,0.0254,897,638,1023,1023,1023
2.5374,0.801,1.0717,1023,1023,1023,1023,1023
-0.4539,-0.3616,0.8495,1023,1023,1023,1023,1023
0.0084,0.0117,0.0076,1023,950,959,1023,738
0.0133,-0.0094,0.0156,962,606,1023,1023,1023
-0.8921,-1.5692,0.8175,1023,1023,1023,1023,1023
0.0237,-0.2794,1.3332,1023,1023,1001,1023,876
0.026,0.0108,-0.0018,1007,881,952,1023,776
-0.1389,-0.0529,0.2107,894,680,1023,1023,1023
-1.766,0.1052,0.5639,1023,1023,1023,1023,1023
0.0137,0.0097,-0.002,984,738,1023,1023,923
1.4273,0.1734,0.8476,1023,1023,1023,1023,1023
-0.8976,-0.3329,1.6259,1023,1023,1023,1023,1023
0.246,-0.691,-1.338,1023,1023,1012,1023,899
0.0045,0.0058,0.0115,1023,841,1004,1023,737
0.0318,-0.0753,0.3013,936,697,1023,1023,917
-0.4193,-0.1211,0.1363,854,730,1023,1023,1023
-2.0937,0.0299,-0.4762,1023,1023,1023,1023,1023
-0.3684,0.3795,0.616,1023,1023,968,1023,779
0.0009,0.0042,0.0134,1017,864,975,1023,755
0.0166,-0.0315,0.0118,859,633,1023,1023,1023
-1.2921,-0.7434,2.6016,1023,802,1023,1023,1023
-2.7732,-0.2493,-0.9409,1023,1023,1023,1023,1023
-0.0086,0.0065,0.0133,1023,968,963,1023,708
-0.0196,-0.0202,-0.0454,974,688,1023,1023,943
0.0329,0.0036,0.0334,795,630,1023,1023,1023
1.3931,0.401,1.6452,1023,1023,1023,1023,1023
-0.8242,0.5733,-0.3177,1023,1023,1018,1023,912
0.015,-0.0279,0.0157,852,677,1023,1023,1001
-0.1292,-0.4185,0.7629,1023,860,1023,1023,1023
-3.533,-0.0648,-1.1994,1023,1023,1023,1023,1023
0.0029,0.0243,0.0075,1023,950,1008,1023,729
0.0024,0.0156,0.0134,1004,715,1023,1023,889
0.0099,-0.0154,-0.0117,891,607,1023,1023,1023
-0.6276,-0.652,1.1721,1023,1023,1023,1023,1023
-0.0012,0.0252,0.2712,1023,944,966,1023,742
0.0256,-0.0083,0.0139,801,671,1023,1023,1023
-0.8351,-0.3776,1.4551,1023,1023,1023,1023,1023
0.2914,-0.1106,-0.5325,1023,1023,1023,1023,1021
0.0139,0.0097,-0.0157,1021,928,936,1023,735
0.0112,0.0002,0.0097,928,683,1023,1023,968
-0.206,-0.074,0.1882,971,718,1023,1023,1023
0.75,-0.3345,0.2449,1023,1023,1023,1023,1023
-1.6927,0.032,0.0673,1023,1023,1023,1023,1023
-0.349,0.1641,1.2616,1023,1023,975,1023,748
