ax,ay,az,fsr1,fsr2,fsr3,fsr4,fsr5
0.2723,-0.0316,-0.117,1023,1023,1023,1023,1023
-0.383,0.0382,-0.4419,1023,1023,1023,1023,1023
-0.0025,-0.0314,0.0018,1023,1023,823,1023,890
0.0304,-0.0339,0.0159,1023,1002,813,1023,940
0.0278,-0.0373,0.0062,989,781,1023,1023,1023
2.304,0.577,1.9048,1023,1023,1023,1023,1023
-0.1096,-0.9465,0.8314,1023,1023,1023,1023,1023
0.0253,-0.0379,0.055,1023,1023,737,1023,800
0.1966,0.1329,0.4458,999,967,1023,1023,1023
-1.5001,-0.3218,0.589,1023,1023,1023,1023,1023
0.0562,-0.011,-0.101,1023,1023,751,1023,816
0.043,-0.0284,0.0122,1023,998,777,1023,910
1.7686,0.522,3.0219,1023,1023,1023,1023,1023
-0.0116,-0.5964,0.8376,1023,1023,1023,1023,1023
0.0494,-0.0428,0.0066,1023,1023,732,1023,795
0.0553,-0.0466,0.0067,976,993,823,1023,924
0.2084,0.0194,0.1084,867,879,1023,1023,1023
0.7798,0.3254,-0.3252,1023,1023,1023,1023,1023
-1.6163,-0.9057,0.8295,1023,1023,1023,1023,1023
-0.5503,-0.1557,2.1912,1023,1023,833,1023,877
0.0367,-0.0675,0.0103,935,982,1010,1023,1023
0.2923,-0.3401,0.3472,1023,1023,1023,1023,1023
0.0317,-0.0852,0.1665,1023,1023,727,1023,806
0.0289,-0.0496,0.0043,1004,1023,893,1023,980
0.0231,-0.0266,0.0022,886,891,1023,1023,1023
-0.5067,-0.7738,1.3873,1023,1023,1023,1023,1023
-0.094,0.0068,0.1624,1023,1023,1023,1023,1023
0.0368,-0.0439,0.0239,1016,1023,751,1023,789
0.1492,0.0008,0.1916,961,944,1023,1023,1023
-2.3412,-0.6777,0.8175,1023,1023,1023,1023,1023
0.0184,-0.028,0.0743,1023,1023,721,1023,756
0.0485,-0.0261,0.0045,954,1012,863,1023,971
0.0349,-0.0193,0.0024,876,920,1023,1023,1023
-1.0482,-0.8103,1.4434,1023,1023,1023,1023,1023
0.0284,-0.0555,0.0805,1023,1023,778,1023,899
0.2008,0.0099,0.3408,982,932,1023,1023,1023
0.0411,-0.3526,0.1012,1023,1023,1023,1023,1023
-2.8841,-0.3933,-0.2409,1023,1023,1023,1023,1023
0.0578,-0.0327,0.0047,897,933,967,1023,961
0.3123,0.2858,-0.4222,1023,1023,1023,1023,1023
0.1517,-0.1474,-1.2788,1023,1023,836,1023,830
0.029,-0.0496,0.0024,891,985,1023,1023,1023
-0.2013,-0.3984,1.0196,1023,1023,1023,1023,1023
0.0312,-0.0253,-0.0075,1007,1022,741,1023,766
0.0317,-0.0314,-0.0016,959,1018,835,1023,902
0.1703,-0.0013,0.1274,841,761,1023,1023,1023
0.7019,0.3436,-0.2035,1023,1023,1023,1023,1023
-1.7367,-0.9301,0.898,1023,1023,1023,1023,1023
0.0375,-0.0203,0.0024,1008,1023,833,1023,949
0.0227,-0.0397,-0.0076,869,904,1023,1023,1023
0.4443,0.2017,1.1526,1023,1023,1023,1023,1023
-3.1085,-0.6039,-1.2203,1023,1023,1023,1023,1023
0.0599,-0.0381,0.0223,1001,1020,771,1023,844
0.0587,-0.0153,0.0027,886,958,1008,1023,1023
0.2384,0.0372,0.142,883,936,1023,1023,1023
0.511,0.3459,-0.3548,1023,1023,1023,1023,1023
-1.8825,-1.1031,1.494,1023,1023,1023,1023,1023
-0.4414,0.1006,2.9891,1023,1023,805,1023,833
0.0521,-0.0009,0.0162,952,893,1023,1023,1023
-0.3011,0.1295,0.6002,1023,1023,1023,1023,1023
0.0405,-0.0319,-0.0073,1018,1023,761,1023,854
0.1592,0.0332,0.4417,1023,1003,1023,1023,1023
-2.8927,-0.137,-0.0348,1023,1023,1023,1023,1023
0.0462,-0.0208,0.0025,1021,1023,862,1023,1013
0.0461,-0.0207,0.0103,894,941,1023,1023,1023
1.767,1.1779,3.0002,1023,1023,1023,1023,1023
-0.8786,-0.9788,1.4642,1023,1023,1023,1023,1023
-0.4522,0.1767,0.0078,1023,1023,902,1023,934
0.0306,-0.0191,-0.0016,933,1013,951,1023,1020
0.2515,0.051,0.3043,1004,970,1023,1023,1023
-2.3418,-0.1301,0.1632,1023,1023,1023,1023,1023
0.0085,-0.0657,0.1446,1023,1023,753,1023,807
0.0167,-0.0315,0.006,1023,1023,754,1023,877
0.0177,-0.0437,0.0139,1023,1023,837,1023,986
0.3319,0.1975,0.3285,912,983,1023,1023,1023
0.2608,0.3199,-0.7103,1023,1023,1023,1023,1023
-1.0857,-1.3371,-0.0907,1023,1023,1023,1023,1023
