ax,ay,az,fsr1,fsr2,fsr3,fsr4,fsr5
0.024,0.0057,-0.0018,1023,1005,945,1023,884
0.955,0.3564,0.2107,1023,1023,1023,1023,1023
-0.6901,-0.4647,-0.3707,1023,1023,1023,1023,1023
0.006,-0.0021,0.0018,945,875,887,1023,801
1.0879,0.6801,-0.5345,1023,1023,1023,1023,1023
-0.8568,-0.886,1.263,1023,1023,1023,1023,1023
0.0048,0.0102,0.0096,1023,1006,789,1023,736
0.0054,0.0189,-0.0021,871,762,1022,1023,964
0.1518,-0.4099,0.3883,1023,1023,1023,1023,1023
-2.755,-0.5336,-0.9455,1023,1023,1023,1023,1023
0.0211,0.0068,0.0177,1023,1021,763,1023,730
0.3078,0.1605,0.463,819,784,1023,1023,1023
0.2986,0.0806,0.1272,1023,1023,1023,1023,1023
-1.7026,-0.3814,0.3146,1023,1023,1023,1023,1023
0.0465,-0.0578,-0.0834,1023,1019,827,1023,731
0.0165,0.0175,0.0097,971,883,931,1023,839
0.0194,-0.0133,0.006,780,665,1023,1023,1023
1.3751,0.3026,1.1354,1023,1023,1023,1023,1023
-1.2377,-0.7969,1.9132,1023,1023,1023,1023,1023
-0.3135,-0.1969,1.3531,1023,1023,896,1023,801
0.0192,-0.0028,-0.0038,1005,939,896,1023,784
0.061,0.0435,0.4362,1023,1018,1023,1023,1023
-0.3382,-0.3774,0.3864,1023,1023,1023,1023,1023
0.0074,-0.0057,0.0136,1023,1019,798,1023,718
0.0159,-0.0298,0.006,886,749,1023,1023,924
0.2717,-0.0477,0.4261,1005,839,1023,1023,1023
0.0645,-0.0728,0.1748,1023,1023,1023,1023,1023
-3.6436,-0.4877,-1.5318,1023,1023,1023,1023,1023
0.002,0.0069,0.0096,1021,998,848,1023,747
0.0366,-0.031,0.2485,901,717,1023,1023,1023
0.5457,-0.0833,0.4108,1023,1023,1023,1023,1023
-4.0755,-0.6696,-0.7858,1023,1023,1023,1023,1023
0.0187,0.0122,0.0254,1023,1018,797,1023,726
0.0226,-0.0161,0.0119,896,783,1022,1023,957
0.1992,0.058,0.3211,877,675,1023,1023,1023
-3.7079,-0.6371,-0.6396,1023,1023,1023,1023,1023
0.017,0.0097,0.0645,1023,1007,824,1023,711
0.2143,0.0521,0.3369,822,665,1023,1023,1023
-1.7356,-3.216,-0.3739,1023,1023,1023,1023,1023
0.0246,0.0188,0.0021,1000,844,1023,1023,1023
0.0306,0.0001,0.0041,955,775,878,1023,929
0.0492,-0.013,0.0026,1023,858,785,1023,837
1.0253,0.0897,-0.1116,1023,1023,1023,1023,1023
0.3665,-0.1588,-0.1191,1023,1023,1023,1023,1023
0.0039,0.0032,-0.01,1023,1023,757,1023,831
-0.008,0.0152,0.0016,969,883,830,1023,964
1.984,0.8518,1.8325,1023,1023,1023,1023,1023
-0.4431,-0.899,1.2245,1023,1023,1023,1023,1023
-0.2578,0.7403,0.9153,1023,1023,1004,1023,1012
0.0,0.0017,0.0056,1013,994,789,1023,777
-0.3861,-0.8069,2.7937,1023,1000,1023,1023,1023
-1.0294,-0.2191,-0.5995,1023,1023,1023,1023,1023
0.0086,0.0117,-0.0061,993,921,904,1023,842
