ax,ay,az,fsr1,fsr2,fsr3,fsr4,fsr5
0.0592,0.0606,-0.0014,1023,964,1023,1023,1023
0.0653,0.0612,-0.0013,1023,957,1023,1023,1023
0.0787,0.044,0.0379,1023,983,1023,1023,1023
-0.0324,0.0118,-0.0047,1023,1009,1023,1023,1023
0.0422,0.0806,-0.0253,992,736,1023,1023,1023
0.0631,0.0561,0.0161,995,692,1023,1023,1023
0.0817,0.0709,0.0457,1023,710,1023,1023,1023
1.2476,0.0341,0.0443,1023,1023,1023,1023,1023
-0.8168,-0.2741,-0.3792,1023,1023,1023,1023,1023
0.058,0.0581,0.0103,997,697,1023,1023,1023
1.8141,0.7408,0.6602,1023,1023,1023,1023,1023
0.2157,0.1792,-0.1205,1023,944,1023,1023,1023
0.0931,0.0414,0.005,1023,748,1023,1023,1023
1.0571,0.1597,0.2734,1023,1023,1023,1023,1023
-1.4288,-0.7883,-0.428,1023,1023,1023,1023,1023
0.0655,0.07,0.0161,966,732,1023,1023,1022
0.1074,0.0994,0.0636,1022,770,1023,1023,1023
0.5043,0.2214,0.1865,1023,1023,1023,1023,1023
0.0678,0.0157,0.0359,985,808,1023,1023,1016
0.0643,0.0586,0.0025,963,752,1023,1023,1003
0.2999,0.1882,0.287,1006,774,1023,1023,1023
-1.6892,-0.6442,-0.2079,1023,1023,1023,1023,1023
0.0541,0.0626,-0.0035,957,696,1023,1023,1023
0.4246,0.0094,0.184,1023,1023,1023,1023,1023
-1.61,-0.7968,-0.167,1023,1023,1023,1023,1023
0.0707,0.0591,-0.0131,962,717,1023,1023,1021
0.4847,0.1072,0.2842,1023,1023,1023,1023,1023
0.063,0.0665,0.0005,973,738,1023,1023,1003
0.0767,0.0521,0.0828,1023,810,1023,1023,1023
-2.0933,-0.3738,-0.2306,1023,1023,1023,1023,1023
0.0601,0.0676,0.0142,960,691,1023,1023,1023
0.1436,0.0347,0.1113,1023,828,1023,1023,1023
0.3215,0.5338,0.4132,1023,1023,1023,1023,1023
0.0617,0.064,0.0161,974,750,1023,1023,983
1.4944,0.9142,0.2367,1023,1023,1023,1023,1023
-1.6372,-0.9304,0.0244,1023,1006,1023,1023,1023
0.0538,0.0582,0.0043,966,752,1023,1023,1001
0.0502,0.061,0.014,968,732,1023,1023,1022
0.2693,-0.1869,0.3659,1023,1023,1023,1023,1023
-2.2518,-0.72,0.4595,1023,1023,1023,1023,1023
0.0709,0.0618,0.0338,971,752,1023,1023,996
0.0581,0.0581,0.0064,949,694,1023,1023,1023
0.9649,0.7401,0.7057,1023,998,1023,1023,1023
0.2119,-0.0668,0.3939,1023,1023,1023,1023,1023
-2.4336,-0.9843,-1.1285,1023,1023,1023,1023,1023
0.0577,0.0685,0.0102,924,716,1023,1023,1023
0.0455,0.0674,0.0041,913,702,1023,1023,1023
