ax,ay,az,fsr1,fsr2,fsr3,fsr4,fsr5
-0.5062,-0.0517,-0.4064,1023,1023,1023,1023,1023
0.0265,-0.0169,-0.242,1023,1023,862,1023,822
0.0042,0.012,-0.0041,1023,1004,793,1023,753
-0.0183,0.0192,0.0033,916,736,1023,1023,967
-0.1171,-0.1147,0.7386,1023,1021,1023,1023,1023
-2.4927,-0.5117,-0.8653,1023,1023,1023,1023,1023
0.0236,0.0162,-0.0038,891,739,1023,1023,992
-0.1167,-0.4514,0.7515,1023,1023,1023,1023,1023
-1.4098,-0.5118,0.2414,1023,1023,1023,1023,1023
0.0227,0.0136,-0.0018,1023,990,780,1023,736
0.0155,-0.0043,0.002,867,706,1023,1023,1023
-0.1811,-0.64,0.296,1023,1023,1023,1023,1023
-2.5839,-0.1846,-0.6393,1023,1023,1023,1023,1023
0.0129,0.0011,0.0194,992,940,850,1023,763
-0.5298,-0.5219,1.9994,1023,986,1023,1023,1023
-1.7991,-0.4408,-0.5345,1023,1023,1023,1023,1023
0.0029,-0.001,0.035,1011,973,811,1023,757
0.0066,-0.0083,-0.004,838,708,1023,1023,1010
-0.8772,-0.4311,2.6344,1023,975,1023,1023,1023
-0.2766,-0.7545,0.498,1023,1023,1023,1023,1023
-2.7325,-0.7608,-0.7647,1023,1023,1023,1023,1023
0.0372,0.0095,0.0003,1021,968,846,1023,739
-0.8483,-0.2748,2.0718,1023,943,1023,1023,1023
-0.4081,0.0469,1.0774,1023,1023,1023,1023,1023
0.0171,-0.0035,0.0098,994,895,902,1023,757
0.0229,-0.0133,0.0568,813,671,1023,1023,1023
-0.3889,-0.5597,0.5856,1023,1023,1023,1023,1023
0.0222,0.0049,0.0021,1003,924,893,1023,766
0.7767,0.0273,0.7013,1023,1023,1023,1023,1023
-0.6686,-0.748,1.4765,1023,1023,1023,1023,1023
-0.879,0.6354,-0.0277,1023,1023,949,1023,892
0.0038,-0.0265,0.0097,785,656,1023,1023,1023
2.6376,0.4126,3.0357,1023,1023,1023,1023,1023
-1.1759,-0.6746,2.0465,1023,1023,1023,1023,1023
-0.8723,0.5853,1.0625,1023,1023,935,1023,865
-0.0139,-0.0491,0.0095,1019,983,847,1023,798
-0.0292,-0.0432,0.0014,810,680,1023,1023,1023
1.9605,0.1476,3.0261,1023,1023,1023,1023,1023
-0.8265,0.545,0.5751,1023,1023,926,1023,842
0.0257,-0.0485,0.0511,985,896,917,1023,852
0.0414,-0.0248,0.0122,800,679,1023,1023,1023
2.1219,0.3485,1.9673,1023,1023,1023,1023,1023
-0.3473,-0.422,1.2166,1023,1023,1023,1023,1023
-0.0037,0.015,0.0074,1023,981,856,1023,690
-0.0064,0.0116,-0.0023,923,809,994,1023,852
-0.0138,-0.1134,1.2423,1023,983,1023,1023,1023
0.3691,-0.0985,0.248,1023,1023,1023,1023,1023
-0.8645,0.0685,2.9826,1023,1023,785,1023,712
-0.0177,0.0752,0.0344,807,731,1023,1023,1023
-0.9133,-1.3006,1.5292,1023,1023,1023,1023,1023
0.0391,0.0058,-0.0153,1003,992,836,1023,826
0.0031,-0.0247,0.0058,813,721,1023,1023,1023
-0.7654,-0.3247,1.9775,1023,974,1023,1023,1023
-0.5076,-0.8798,0.6551,1023,1023,1023,1023,1023
-2.0215,-0.353,-0.3409,1023,1023,1023,1023,1023
0.4123,-0.271,1.3451,1022,1005,765,1023,743
0.0216,-0.0466,-0.0174,857,765,1023,1023,999
-0.1246,-0.0896,0.1876,940,790,1023,1023,1023
0.1489,-0.1685,0.3406,1023,1023,1023,1023,1023
0.0021,0.0069,0.0057,1023,1000,833,1023,715
-0.0099,0.0397,-0.022,911,769,1021,1023,924
0.1726,0.0198,0.2153,777,665,1023,1023,1023
0.1645,0.3016,-0.8816,1023,1023,1023,1023,1023
-2.2025,-0.9246,0.3282,1023,1023,1023,1023,1023
0.011,0.0107,-0.0001,913,863,1006,1023,912
0.0182,-0.001,0.0098,770,670,1023,1023,1023
1.5344,0.3508,2.5696,1023,1023,1023,1023,1023
-0.4359,0.2048,0.4006,1023,1023,962,1023,882
0.0209,-0.0213,-0.0058,804,696,1023,1023,1023
-0.4348,-0.1004,0.7493,1023,1023,1023,1023,1023
0.0017,-0.0019,-0.0021,1019,989,807,1023,726
0.0419,-0.0266,0.0357,774,671,1023,1023,1023
-1.5519,-0.887,0.5139,1023,1023,1023,1023,1023
-0.0069,-0.1488,0.1858,1023,1023,948,1023,913
0.0119,0.0089,-0.002,936,852,947,1023,829
0.0146,-0.007,-0.0039,1023,1021,1023,1023,999
0.0286,0.0099,-0.0037,1023,1016,1023,1023,989
-0.0005,-0.007,0.0154,1020,991,1017,1023,943
0.0107,-0.0085,0.0136,1002,945,998,1023,904
