ax,ay,az,fsr1,fsr2,fsr3,fsr4,fsr5
0.1292,0.0911,-0.0142,1023,1014,1023,1023,1023
-0.157,0.2983,-0.2342,1023,1023,1023,1023,1023
-0.0526,0.0627,-0.0032,1018,884,1023,1023,1023
0.0625,0.0771,0.0083,960,658,1023,1023,1023
1.7797,-0.1092,0.3402,1023,1023,1023,1023,1023
-0.1676,-0.3681,-0.0778,1023,1023,1023,1023,1023
-0.04,0.1111,0.0125,1023,963,1023,1023,1023
0.077,0.0684,0.0046,962,666,1023,1023,1023
0.0917,0.0967,0.0458,983,686,1023,1023,1023
0.7688,-0.3753,0.1457,1023,1023,1023,1023,1023
-1.5751,-0.2754,-0.1096,1023,1023,1023,1023,1023
0.0557,0.0782,-0.0056,986,720,1023,1023,1023
0.0631,0.0709,0.0044,980,669,1023,1023,1023
1.9198,1.6175,1.1414,1023,1017,1023,1023,1023
-0.4909,-0.523,-0.3205,1023,1023,1023,1023,1023
0.0669,0.062,0.0123,945,682,1023,1023,1023
0.3971,-0.2651,0.3877,1023,1023,1023,1023,1023
0.0502,0.082,-0.0291,961,723,1023,1023,1023
0.1393,0.0807,0.199,1023,909,1023,1023,1023
0.264,-0.5436,0.3358,1023,1023,1023,1023,1023
-2.1629,-0.8054,-1.0859,1023,1023,1023,1023,1023
0.0575,0.0494,0.0181,943,688,1023,1023,1023
0.2286,0.126,1.2315,1023,1008,1023,1023,1023
-0.042,-0.2332,0.4296,1023,1023,1023,1023,1023
0.0404,0.065,-0.0154,971,821,1017,1023,984
0.0942,0.0644,0.1201,989,837,1023,1023,1023
0.7693,-0.2202,0.278,1023,1023,1023,1023,1023
-1.685,-0.6765,-0.4089,1023,1023,1023,1023,1023
0.0568,0.0511,0.0142,926,737,1023,1023,1023
0.0462,0.0508,0.0159,952,736,1023,1023,1023
1.5573,1.0895,0.9148,1023,1023,1023,1023,1023
-0.3585,-0.7679,-0.1224,1023,1023,1023,1023,1023
0.1058,0.1631,0.3095,1023,1009,1023,1023,1023
0.0573,0.0747,-0.0055,912,744,1023,1023,1023
0.0625,0.0771,0.0103,903,705,1023,1023,1023
-0.1013,0.0083,0.3088,1023,975,1023,1023,1023
