ax,ay,az,fsr1,fsr2,fsr3,fsr4,fsr5
-0.4571,0.1953,-0.678,1023,1023,1023,1023,1023
0.1042,-0.5022,0.2804,1023,1023,1023,1023,1023
0.0124,0.0072,0.0097,1023,1023,798,1023,838
0.0037,0.0076,0.0115,1022,1002,820,1023,870
1.7588,0.4684,0.6837,1023,1023,1023,1023,1023
-1.6191,-0.2878,-0.8077,1023,1023,1023,1023,1023
0.0135,0.0097,0.0077,1023,1023,752,1023,776
-0.0071,0.1543,0.0011,920,996,1023,1023,1023
1.0424,0.6441,0.1818,1023,1023,1023,1023,1023
-1.7123,-0.5384,1.6588,1023,1023,1023,1023,1023
-0.3118,-0.2382,2.6757,1023,1023,769,1023,871
0.0057,0.0084,0.0018,997,967,1010,1023,1023
-0.7465,-0.9755,0.9154,1023,1023,1023,1023,1023
0.0151,0.0211,0.0038,1023,1023,775,1023,843
0.0223,0.0286,0.0117,1015,1020,891,1023,973
1.9665,-0.4857,1.7215,1023,1023,1023,1023,1023
0.2654,-1.0348,0.7301,1023,1023,1023,1023,1023
-1.9583,-0.9579,-0.6779,1023,1023,1023,1023,1023
0.0331,0.0184,0.0178,1023,1023,768,1023,857
0.165,0.1817,0.1072,1023,1023,1023,1023,1023
0.9684,0.155,0.3815,1023,1023,1023,1023,1023
-0.3883,0.0437,1.5934,1023,1023,776,1023,860
0.0113,0.0151,-0.002,1023,1023,791,1023,909
0.0102,0.017,0.0175,996,1013,1023,1023,1023
0.2201,-0.0935,0.6676,1023,1023,1023,1023,1023
-0.0439,-0.4057,0.2153,1023,1023,1023,1023,1023
-2.7878,-0.2929,-0.8179,1023,1023,1023,1023,1023
0.0091,-0.0345,0.0352,1023,1023,802,1023,908
0.1104,0.1251,-0.167,1023,1023,1023,1023,1023
1.0323,0.3601,-0.2511,1023,1023,1023,1023,1023
-1.7026,-1.0627,0.643,1023,1023,1023,1023,1023
0.0139,-0.0156,0.0137,1023,1023,774,1023,866
0.793,0.5085,-0.2963,1023,1023,1023,1023,1023
-2.0063,-0.9234,0.5968,1023,1023,1023,1023,1023
-1.7968,0.1715,2.9678,1023,1023,854,1023,890
0.0159,0.0044,0.0078,1023,1023,757,1023,832
1.785,0.7247,1.9002,1023,1023,1023,1023,1023
0.1182,-0.1133,0.8009,1023,1023,1023,1023,1023
-1.7972,-0.8962,-0.7166,1023,1023,1023,1023,1023
0.0203,0.0041,0.0039,1023,1023,738,1023,787
0.0146,0.0123,-0.0001,1023,1023,767,1023,905
0.1421,0.0389,0.2714,1023,1023,1023,1023,1023
0.6663,0.2808,0.1947,1023,1023,1023,1023,1023
-2.182,-1.3542,-0.0139,1023,1023,1023,1023,1023
0.0091,-0.0049,0.0155,1023,1023,828,1023,894
0.0187,-0.0071,0.0118,1023,1023,761,1023,896
0.0267,-0.0146,-0.0213,1023,1023,885,1023,1023
-0.1491,-0.2811,1.0747,1023,1023,1023,1023,1023
0.3509,-0.3362,0.3071,1023,1023,1023,1023,1023
0.0295,0.0124,-0.0017,1023,1023,870,1023,759
0.0363,0.0261,0.0022,1000,972,1023,1023,1023
-0.8113,-0.5361,0.7684,1023,1023,1023,1023,1023
-0.0638,-0.0758,0.5929,1023,1023,1023,1023,1023
0.0305,0.015,0.0002,1023,1023,754,1023,837
0.0294,0.0081,-0.0017,1023,1023,759,1023,899
0.0572,-0.0265,0.0046,1023,1022,1018,1023,1023
-0.4196,-0.807,1.082,1023,1023,1023,1023,1023
0.1073,-0.1078,0.3436,1023,1023,763,1023,795
0.033,-0.02,0.0081,1023,1023,804,1023,894
0.1754,0.0308,0.1274,1023,1023,1023,1023,1023
0.5225,0.2217,-0.4813,1023,1023,1023,1023,1023
-1.6293,-0.9306,0.4015,1023,1023,1023,1023,1023
0.0209,-0.002,-0.0038,1023,1023,785,1023,871
0.9191,0.64,1.9613,1023,1023,1023,1023,1023
-0.7868,-0.2498,0.4026,1023,1023,1023,1023,1023
0.0072,0.0092,0.0154,1023,998,898,1023,752
