ax,ay,az,fsr1,fsr2,fsr3,fsr4,fsr5
0.3203,0.0194,0.0046,1023,1023,1023,1023,1023
0.0048,0.0091,0.0115,1023,1023,1023,1023,1023
0.128,0.0352,-0.0082,1023,1023,1023,1023,1023
0.4506,0.2561,0.0391,1023,1023,1023,1023,1023
0.1558,0.05,-0.1679,1023,1023,1023,1023,1023
0.3214,0.0445,-0.097,1023,1023,1023,1023,1023
0.0631,0.1199,-0.0016,1023,1023,872,1023,882
0.0694,0.0758,0.0084,1023,908,888,1023,868
0.0635,0.0752,-0.0054,1023,818,997,1023,916
-0.686,-0.022,-0.1006,1023,1023,1023,1023,1023
0.173,-0.4437,0.6642,1023,1023,1023,1023,1023
0.0657,0.0743,0.0122,1023,874,900,1023,881
-0.1067,-0.0053,0.045,1023,911,1023,1023,1023
0.3533,-0.1396,0.3475,1023,1023,1023,1023,1023
-2.2266,-0.125,-0.6399,1023,1023,1023,1023,1023
0.0567,0.0809,-0.0015,1018,807,936,1023,900
2.3774,0.4425,1.7658,1023,1023,1023,1023,1023
-1.3407,-0.2966,-0.3424,1023,1023,1023,1023,1023
0.0623,0.0771,0.0181,1023,899,878,1023,859
0.0763,0.0746,0.0105,1005,762,981,1023,920
0.9009,0.6775,-0.3831,1023,1023,1023,1023,1023
-0.1313,-0.1472,0.1584,1023,1023,944,1023,989
0.0541,0.0818,-0.0016,975,730,1023,1023,969
0.1389,-0.2013,0.3815,1023,1023,1023,1023,1023
0.0494,0.0778,0.0062,1023,904,931,1023,846
0.044,0.0902,0.0021,1005,730,1023,1023,943
0.1922,0.1637,0.2092,941,692,1023,1023,1023
-1.8462,-0.3741,1.4707,1023,1023,1023,1023,1023
0.047,0.0638,0.0062,1014,874,977,1023,904
2.3794,1.1233,2.9922,1023,1023,1023,1023,1023
-0.7939,-0.7952,1.5157,1023,1023,1023,1023,1023
0.0489,0.0646,-0.0016,1015,926,849,1023,872
0.1819,0.1248,0.1878,899,671,1023,1023,1023
-1.3617,-0.6491,0.9282,1023,1023,1023,1023,1023
0.0519,0.0723,0.0003,1016,923,859,1023,890
0.007,0.039,0.1325,934,723,1023,1023,1023
0.635,0.0629,-0.0648,1023,1023,1023,1023,1023
-1.1033,-0.592,0.6449,1023,1023,1023,1023,1023
0.064,0.0542,0.0084,1015,873,929,1023,879
0.0561,0.0826,-0.0134,944,710,1023,1023,998
0.0466,-0.0031,0.1568,1010,826,1023,1023,1023
-1.7868,-0.4352,-0.3917,1023,1023,1023,1023,1023
0.0452,0.0735,-0.0154,999,746,1017,1023,931
0.0388,0.073,0.0001,911,654,1023,1023,1023
-0.7771,-0.2113,1.3675,1023,942,1023,1023,1023
0.2738,-0.5183,0.5175,1023,1023,1023,1023,1023
-0.9857,-1.8699,0.143,1023,1023,1023,1023,1023
-1.695,1.3993,-0.1425,1023,1023,1023,1023,1023
0.0612,0.0701,0.0142,1023,984,1023,1023,1009
0.0664,0.0637,-0.0092,1023,985,993,1023,973
0.058,0.0537,-0.0073,1023,920,968,1023,935
0.0524,0.0661,0.0023,1012,835,977,1023,911
0.0635,0.1225,0.0316,1023,757,1023,1023,1023
-0.2852,-0.7306,0.1834,1023,1023,1023,1023,1023
0.0534,0.0732,0.014,1023,1003,1023,1023,1023
0.06,0.0632,0.0122,1018,842,869,1023,884
0.0622,0.0727,0.0122,1023,821,863,1023,879
0.056,0.0677,0.0043,1023,795,870,1023,872
0.0583,0.0624,0.0063,1023,836,906,1023,880
0.7759,0.3131,0.0048,1023,1023,1023,1023,1023
0.4295,0.0416,0.1958,1023,1023,1023,1023,1023
-0.3075,0.0101,-0.2629,1023,1023,1023,1023,1023
0.0707,0.09,0.0846,1023,1004,841,1023,885
0.0669,0.062,0.0104,1023,868,875,1023,890
-0.4531,-0.2647,1.2223,1023,995,1023,1023,1023
-1.9425,-0.3241,-0.373,1023,1023,1023,1023,1023
0.0628,0.0621,-0.0073,1001,864,953,1023,895
1.2284,0.6197,-0.4795,1023,1023,1023,1023,1023
-0.9641,-0.5264,-0.3865,1023,1023,1023,1023,1023
0.0645,0.0585,-0.0112,1007,932,877,1023,920
0.0824,0.0664,-0.007,963,716,1023,1023,1023
2.2975,0.9698,1.9171,1023,1023,1023,1023,1023
-0.8511,-1.1017,0.883,1023,1023,1023,1023,1023
-0.3729,-0.3911,0.2219,1023,1023,1023,1023,1023
0.0526,0.0661,-0.0075,1023,969,823,1023,856
0.0508,0.0654,-0.0036,1008,920,870,1023,909
2.1702,0.4985,2.1628,1023,1023,1023,1023,1023
-0.9641,-1.1248,1.6021,1023,1023,1023,1023,1023
-0.1758,-0.071,0.345,1023,1023,961,1023,982
0.0618,0.0596,-0.0034,1023,966,847,1023,868
0.1102,0.0654,0.1673,946,761,1023,1023,1023
0.7158,-0.0322,-0.118,1023,1023,1023,1023,1023
-0.7794,-0.1021,2.9845,1023,1023,807,1023,895
0.055,0.0503,0.0063,950,698,1023,1023,1023
0.2124,0.0373,0.7471,1023,1008,1023,1023,1023
-1.6712,0.0096,-0.6512,1023,1023,1023,1023,1023
0.0561,0.0573,0.0141,1002,866,929,1023,908
0.0542,0.0713,0.0141,924,723,1023,1023,1023
-0.5998,-0.6067,1.397,1023,1023,1023,1023,1023
0.7685,-0.6325,0.4552,1023,1023,1023,1023,1023
0.0576,0.0494,0.0083,1023,933,840,1023,873
0.0491,0.069,0.0042,976,792,1014,1023,962
0.2256,0.1551,0.2333,948,720,1023,1023,1023
0.919,-0.0819,-0.1245,1023,1023,1023,1023,1023
0.0682,-0.0251,0.2138,1023,1021,825,1023,893
0.0643,0.0542,-0.0092,1008,929,882,1023,925
0.0584,0.0668,0.0121,957,733,1023,1023,1011
0.5218,-0.0483,0.383,1023,1023,1023,1023,1023
-1.5816,-0.4801,-0.238,1023,1023,1023,1023,1023
0.0309,0.0611,0.0176,1023,962,944,1023,861
0.0594,0.0605,-0.0132,991,838,988,1023,943
-0.1553,-0.0858,0.0992,1023,910,1023,1023,1023
0.618,-0.1969,0.2913,1023,1023,1023,1023,1023
-0.01,-0.0953,1.2911,1023,1023,874,1023,929
0.0634,0.0411,0.0006,968,895,974,1023,1001
0.9266,0.4826,-0.5227,1023,1023,1023,1023,1023
0.0466,-0.0565,0.1491,1023,1023,1023,1023,1023
0.0574,0.0598,0.0024,981,764,1023,1023,956
0.0188,-0.0488,0.2151,1023,921,1023,1023,1023
0.6134,0.0362,0.3334,1023,1023,1023,1023,1023
0.0206,0.1213,0.0896,1023,1023,798,1023,885
0.0538,0.0242,-0.0014,972,735,1023,1023,1013
0.282,-0.3024,0.6322,1023,1023,1023,1023,1023
-3.2844,-0.5575,-1.1158,1023,1023,1023,1023,1023
0.066,0.0594,0.0084,1023,974,819,1023,855
0.0572,0.0703,-0.0094,1002,784,996,1023,924
0.6412,0.2882,-0.4054,1023,1023,1023,1023,1023
-1.442,-0.9858,1.0648,1023,1023,1023,1023,1023
0.0853,-0.0661,-0.7937,1023,1023,847,1023,868
0.0699,0.0697,0.0123,924,670,1023,1023,1023
2.2317,1.3266,2.2978,1023,1023,1023,1023,1023
-0.6184,-0.827,1.0966,1023,1023,1023,1023,1023
0.8028,-0.312,0.3023,1023,1023,1023,1023,1023
0.0488,0.0646,0.0081,1023,911,874,1023,865
-0.3385,-0.0942,0.0417,992,782,1023,1023,1023
-2.3027,-0.643,0.1558,1023,1023,1023,1023,1023
0.0511,0.0637,0.0257,1023,977,903,1023,896
0.0668,0.0427,0.0123,1023,924,889,1023,870
-0.7058,-0.1083,2.3372,1023,924,1023,1023,1023
0.1424,0.0747,0.3201,1023,1023,1023,1023,1023
-2.8594,-0.1476,-0.7414,1023,1023,1023,1023,1023
0.0628,0.0621,-0.0054,1023,985,853,1023,850
0.0631,0.0709,0.0064,1016,831,961,1023,897
1.7279,-0.096,2.408,1023,1023,1023,1023,1023
-0.8872,-0.6665,1.4064,1023,1023,1023,1023,1023
0.3912,-0.0084,0.08,1023,1023,1023,1023,1023
0.061,0.0614,-0.0034,985,851,894,1023,921
0.0537,0.0626,0.0199,963,799,1023,1023,1023
