ax,ay,az,fsr1,fsr2,fsr3,fsr4,fsr5
-0.4337,-0.037,-0.4092,1023,1023,1023,1023,1023
0.0553,-0.0465,0.0086,1023,1020,767,1023,807
0.0471,-0.033,0.0182,1009,947,847,1023,897
0.0701,-0.0464,0.0127,919,735,1023,1023,1023
-0.5625,-0.8229,1.2752,1023,1023,1023,1023,1023
-0.0385,-0.7985,-0.0529,1023,1023,1023,1023,1023
0.0493,-0.0279,0.0045,992,970,831,1023,896
0.0383,-0.037,0.0044,872,739,1023,1023,1023
-0.6867,-0.8818,1.4766,1023,1023,1023,1023,1023
-0.4481,0.4903,-0.3624,1023,1023,938,1023,952
0.0337,-0.0263,-0.0015,1023,1023,763,1023,860
0.0434,-0.039,0.0123,926,902,960,1023,1004
-0.0535,-1.0353,2.4968,1023,1023,1023,1023,1023
0.1643,-0.6608,0.3444,1023,1023,1023,1023,1023
-2.08,-0.3834,-0.3925,1023,1023,1023,1023,1023
0.0481,-0.0766,0.0907,1023,1023,736,1023,809
0.0181,-0.1032,0.0258,979,984,893,1023,1005
-0.0601,-0.4153,0.6038,1023,1023,1023,1023,1023
0.0329,-0.02,0.0159,1021,1023,745,1023,842
0.0489,-0.0322,0.0123,1015,1022,836,1023,985
0.0593,-0.0556,-0.001,946,939,1023,1023,1023
0.8896,0.6691,-0.1899,1023,1023,1023,1023,1023
-0.5552,-0.9702,0.9496,1023,1023,1023,1023,1023
0.0595,-0.0319,0.0086,1019,1023,797,1023,935
0.0581,-0.0284,-0.0032,988,1011,840,1023,937
0.8292,-0.0138,0.6865,1023,1023,1023,1023,1023
-2.5946,-0.5647,-0.0053,1023,1023,1023,1023,1023
0.0424,-0.0267,-0.0014,1023,1022,804,1023,905
0.083,-0.0839,-0.0397,1006,1023,1023,1023,1023
1.1611,0.3449,0.4717,1023,1023,1023,1023,1023
-0.3608,0.9853,0.2897,1023,1023,890,1023,978
0.0487,-0.041,0.0006,1010,1016,856,1023,990
-0.1421,0.0413,0.3842,1023,1017,1023,1023,1023
0.2428,-0.1312,0.3868,1023,1023,1023,1023,1023
-2.3658,-0.6684,-0.1499,1023,1023,1023,1023,1023
0.0418,-0.0398,0.0005,1023,1023,737,1023,801
0.0547,-0.0596,0.0028,1002,1023,1023,1023,1023
-0.9082,-1.2053,1.2301,1023,1023,1023,1023,1023
-0.278,0.437,-0.7854,1023,1023,969,1023,970
0.0385,-0.0089,0.0277,1023,1023,789,1023,873
-0.5724,-0.602,2.6729,1023,1023,1023,1023,1023
-2.2647,-0.4496,-0.821,1023,1023,1023,1023,1023
0.044,-0.0721,0.0886,1023,1023,734,1023,808
0.0482,-0.0497,0.0027,1003,1018,873,1023,981
1.8861,0.5019,2.2698,1023,1023,1023,1023,1023
-1.0811,-1.3959,1.2691,1023,1023,1023,1023,1023
0.1339,0.2822,-0.2159,1023,1023,905,1023,1016
0.0538,-0.0474,-0.013,1019,1010,819,1023,968
-0.5412,-0.5877,2.7378,1023,1023,1023,1023,1023
0.1421,-0.4197,0.4702,1023,1023,1023,1023,1023
-1.841,0.0444,-0.0894,1023,1023,1023,1023,1023
0.0088,-0.0377,0.1543,1023,1023,732,1023,756
0.0413,-0.0292,0.0064,979,1010,886,1023,970
1.6794,0.3655,3.021,1023,1023,1023,1023,1023
0.3299,0.1085,0.0651,1023,1023,1022,1023,1023
0.0473,-0.0523,0.0007,988,1017,928,1023,1015
0.4894,0.0913,-0.1239,1023,1023,1023,1023,1023
-1.2199,-1.1322,1.0961,1023,1023,1023,1023,1023
-0.1506,-0.4264,1.3213,1023,1023,826,1023,875
0.0289,-0.0303,0.012,1022,1023,794,1023,899
0.0506,-0.0551,0.0027,985,1011,961,1023,1023
-0.0318,0.084,0.458,1023,1006,1023,1023,1023
0.2306,-0.0597,0.3942,1023,1023,1023,1023,1023
0.0122,-0.0505,0.0079,1023,1023,759,1023,767
0.0606,-0.0101,0.0163,907,950,1023,1023,1023
-0.1289,-0.3053,0.5535,1023,1023,1023,1023,1023
-0.266,-0.0183,0.2867,1023,1023,1023,1023,1023
0.0481,-0.0497,0.0085,1023,1023,743,1023,803
0.0489,-0.0559,-0.0012,970,1005,901,1023,1002
0.0236,-0.0476,0.0159,896,924,1023,1023,1023
0.7352,0.3292,0.3089,1023,1023,1023,1023,1023
-1.0182,-1.3866,1.3599,1023,1023,1023,1023,1023
-0.183,0.7937,-1.6797,1023,1023,951,1023,976
0.0566,-0.0501,0.0203,1022,1023,798,1023,905
0.2432,0.1977,0.4131,942,859,1023,1023,1023
-0.5844,-0.7964,0.634,1023,1023,1023,1023,1023
-0.7933,-0.0111,2.984,1023,1023,848,1023,866
0.0389,-0.0432,0.0025,1021,1022,792,1023,847
0.1096,0.0088,0.1772,980,898,1023,1023,1023
-1.6336,-1.0684,0.4625,1023,1023,1023,1023,1023
0.0125,-0.0362,0.1446,1023,1023,805,1023,798
0.0215,-0.0038,0.0079,1016,1023,784,1023,872
0.0197,-0.0238,0.0099,931,989,957,1023,1023
0.3201,0.2134,0.5217,1023,1023,1023,1023,1023
0.0337,-0.0471,0.0453,1023,1023,737,1023,769
0.0425,-0.0267,-0.0034,841,840,1023,1023,1023
-0.8875,-0.9927,1.3176,1023,1023,1023,1023,1023
0.0325,-0.0184,-0.0095,1023,1023,744,1023,821
0.0214,-0.023,0.01,1006,1018,847,1023,962
0.0274,0.0073,0.004,924,827,1023,1023,1023
-0.8832,-1.1405,1.0759,1023,1023,1023,1023,1023
-0.5974,0.5438,-0.2086,1023,1023,875,1023,902
0.0545,-0.0343,-0.013,1015,1023,812,1023,906
0.0559,-0.0186,0.0027,920,967,977,1023,1015
-0.1807,-0.0736,0.1886,1014,972,1023,1023,1023
0.2595,-0.0351,0.2949,1023,1023,1023,1023,1023
-1.8591,-0.9508,-0.0689,1023,1023,1023,1023,1023
0.0257,0.0418,0.1152,1023,1023,768,1023,781
0.0159,-0.0148,0.0039,1022,1023,795,1023,862
0.04,-0.0213,0.0043,924,965,965,1023,1010
-0.6118,-0.6262,1.9867,1023,1023,1023,1023,1023
-0.1037,-0.2794,0.5343,1023,1023,1023,1023,1023
